Rêgul. solaire;DATE & TIME;T1[C];T2[C];T3[C];T4[C];T5[C];T6[C];Tds[C];V'[l/min];P[kW];Qday[kWh];Qyear[kWh];Qsum[kWh];R1[%];R2[%];R3[%];H1[%];H2[%]
10;2017-05-01 00:00;6;19;22;15;18;Err;Err;0;0,0;0;283;283;100;0;0;0;0
10;2017-05-01 00:01;6;19;22;15;18;Err;Err;0;0,0;0;283;283;100;0;0;0;0
10;2017-05-01 00:02;6;19;22;15;18;Err;Err;0;0,0;0;283;283;100;0;0;0;0
10;2017-05-01 00:03;6;19;22;15;18;Err;Err;0;0,0;0;283;283;100;0;0;0;0
10;2017-05-01 00:04;6;19;22;15;18;Err;Err;0;0,0;0;283;283;100;0;0;0;0
10;2017-05-01 00:05;6;19;22;15;18;Err;Err;0;0,0;0;283;283;100;0;0;0;0
10;2017-05-01 00:06;6;19;22;15;18;Err;Err;0;0,0;0;283;283;100;0;0;0;0
10;2017-05-01 00:07;6;19;22;15;18;Err;Err;0;0,0;0;283;283;100;0;0;0;0
10;2017-05-01 00:08;6;19;22;15;18;Err;Err;0;0,0;0;283;283;100;0;0;0;0
10;2017-05-01 00:09;6;19;22;15;18;Err;Err;0;0,0;0;283;283;100;0;0;0;0
10;2017-05-01 00:10;6;19;22;15;18;Err;Err;0;0,0;0;283;283;100;0;0;0;0
10;2017-05-01 00:11;6;19;22;15;18;Err;Err;0;0,0;0;283;283;100;0;0;0;0
10;2017-05-01 00:12;6;19;22;15;18;Err;Err;0;0,0;0;283;283;100;0;0;0;0
10;2017-05-01 00:13;6;19;22;15;18;Err;Err;0;0,0;0;283;283;100;0;0;0;0
10;2017-05-01 00:14;6;19;22;15;18;Err;Err;0;0,0;0;283;283;100;0;0;0;0
10;2017-05-01 00:15;6;19;22;15;18;Err;Err;0;0,0;0;283;283;100;0;0;0;0
10;2017-05-01 00:16;6;19;22;15;18;Err;Err;0;0,0;0;283;283;100;0;0;0;0
10;2017-05-01 00:17;6;19;22;15;17;Err;Err;0;0,0;0;283;283;100;0;0;0;0
10;2017-05-01 00:18;6;19;22;15;17;Err;Err;0;0,0;0;283;283;100;0;0;0;0
10;2017-05-01 00:19;6;19;22;15;17;Err;Err;0;0,0;0;283;283;100;0;0;0;0
10;2017-05-01 00:20;6;19;22;15;17;Err;Err;0;0,0;0;283;283;100;0;0;0;0
10;2017-05-01 00:21;6;19;22;15;17;Err;Err;0;0,0;0;283;283;100;0;0;0;0
10;2017-05-01 00:22;6;19;22;15;18;Err;Err;0;0,0;0;283;283;100;0;0;0;0
10;2017-05-01 00:23;6;19;22;15;17;Err;Err;0;0,0;0;283;283;100;0;0;0;0
10;2017-05-01 00:24;6;19;22;15;17;Err;Err;0;0,0;0;283;283;100;0;0;0;0
10;2017-05-01 00:25;6;19;22;15;18;Err;Err;0;0,0;0;283;283;100;0;0;0;0
10;2017-05-01 00:26;6;19;22;15;18;Err;Err;0;0,0;0;283;283;100;0;0;0;0
10;2017-05-01 00:27;6;19;22;15;18;Err;Err;0;0,0;0;283;283;100;0;0;0;0
10;2017-05-01 00:28;6;19;22;15;18;Err;Err;0;0,0;0;283;283;100;0;0;0;0
10;2017-05-01 00:29;6;19;22;15;18;Err;Err;0;0,0;0;283;283;100;0;0;0;0
10;2017-05-01 00:30;6;19;22;15;18;Err;Err;0;0,0;0;283;283;100;0;0;0;0
10;2017-05-01 00:31;6;19;22;15;18;Err;Err;0;0,0;0;283;283;100;0;0;0;0
